tournament,year,team,group
afc asian cup,2024,Hong Kong,C
afc asian cup,2024,Iran,C
afc asian cup,2024,Palestine,C
afc asian cup,2024,United Arab Emirates,C
afc asian cup,2024,Indonesia,D
afc asian cup,2024,Iraq,D
afc asian cup,2024,Japan,D
afc asian cup,2024,Vietnam,D
afc asian cup,2024,Bahrain,E
afc asian cup,2024,Jordan,E
afc asian cup,2024,Malaysia,E
afc asian cup,2024,South Korea,E
afc asian cup,2024,Kyrgyzstan,F
afc asian cup,2024,Oman,F
afc asian cup,2024,Saudi Arabia,F
afc asian cup,2024,Thailand,F
african cup of nations,2024,Equatorial Guinea,A
african cup of nations,2024,Guinea-Bissau,A
african cup of nations,2024,Ivory Coast,A
african cup of nations,2024,Nigeria,A
african cup of nations,2024,Cape Verde,B
african cup of nations,2024,Egypt,B
african cup of nations,2024,Ghana,B
african cup of nations,2024,Mozambique,B
african cup of nations,2024,Cameroon,C
african cup of nations,2024,Gambia,C
african cup of nations,2024,Guinea,C
african cup of nations,2024,Senegal,C
african cup of nations,2024,Algeria,D
african cup of nations,2024,Angola,D
african cup of nations,2024,Burkina Faso,D
african cup of nations,2024,Mauritania,D
african cup of nations,2024,Mali,E
african cup of nations,2024,Namibia,E
african cup of nations,2024,South Africa,E
african cup of nations,2024,Tunisia,E
african cup of nations,2024,DR Congo,F
african cup of nations,2024,Morocco,F
african cup of nations,2024,Tanzania,F
african cup of nations,2024,Zambia,F
copa américa,2024,Argentina,A
copa américa,2024,Canada,A
copa américa,2024,Chile,A
copa américa,2024,Peru,A
copa américa,2024,Ecuador,B
copa américa,2024,Jamaica,B
copa américa,2024,Mexico,B
copa américa,2024,Venezuela,B
copa américa,2024,Bolivia,C
copa américa,2024,Panama,C
copa américa,2024,United States,C
copa américa,2024,Uruguay,C
copa américa,2024,Brazil,D
copa américa,2024,Colombia,D
copa américa,2024,Costa Rica,D
copa américa,2024,Paraguay,D
uefa euro,2024,Germany,A
uefa euro,2024,Hungary,A
uefa euro,2024,Scotland,A
uefa euro,2024,Switzerland,A
uefa euro,2024,Albania,B
uefa euro,2024,Croatia,B
uefa euro,2024,Italy,B
uefa euro,2024,Spain,B
uefa euro,2024,Denmark,C
uefa euro,2024,England,C
uefa euro,2024,Serbia,C
uefa euro,2024,Slovenia,C
uefa euro,2024,Austria,D
uefa euro,2024,France,D
uefa euro,2024,Netherlands,D
uefa euro,2024,Poland,D
uefa euro,2024,Belgium,E
uefa euro,2024,Romania,E
uefa euro,2024,Slovakia,E
uefa euro,2024,Ukraine,E
uefa euro,2024,Czech Republic,F
uefa euro,2024,Georgia,F
uefa euro,2024,Portugal,F
uefa euro,2024,Turkey,F
gold cup,2025,Costa Rica,A
gold cup,2025,Dominican Republic,A
gold cup,2025,Mexico,A
gold cup,2025,Suriname,A
gold cup,2025,Haiti,B
gold cup,2025,Saudi Arabia,B
gold cup,2025,Trinidad and Tobago,B
gold cup,2025,United States,B
gold cup,2025,Guadeloupe,C
gold cup,2025,Guatemala,C
gold cup,2025,Jamaica,C
gold cup,2025,Panama,C
gold cup,2025,Canada,D
gold cup,2025,Curaçao,D
gold cup,2025,El Salvador,D
gold cup,2025,Honduras,D
