tournament,year,team,stage,pre_tournament_elo,n_matches_form,win_rate,avg_goal_diff,goals_for_per_match,goals_against_per_match,avg_opponent_elo,stage_order,group,avg_group_elo,max_group_elo,elo_minus_avg_group,group_elo_rank
uefa euro,2000,Denmark,Round of 16,1468.01,3,0.167,-0.667,1.0,1.667,1504.74,4,B,1521.16,1570.95,-53.15,4.0
uefa euro,2000,England,Round of 16,1523.12,4,0.75,0.75,1.25,0.5,1508.1,4,C,1512.388,1523.12,10.732,1.0
uefa euro,2000,Germany,Round of 16,1512.23,5,0.6,1.2,2.8,1.6,1501.906,4,C,1512.388,1523.12,-0.158,3.0
uefa euro,2000,Norway,Round of 16,1524.16,7,0.643,0.429,1.143,0.714,1502.833,4,D,1538.138,1560.25,-13.977,3.0
uefa euro,2000,Slovenia,Round of 16,1522.05,4,0.625,1.25,2.25,1.0,1501.085,4,D,1538.138,1560.25,-16.088,4.0
uefa euro,2000,Sweden,Round of 16,1512.46,5,0.5,0.0,0.8,0.8,1501.598,4,A,1502.32,1515.06,10.14,2.0
copa américa,2001,Colombia,Champion,1577.63,12,0.667,0.167,1.167,1.0,1520.352,0,A,1498.245,1581.31,79.385,2.0
copa américa,2001,Mexico,Runner-up,1481.61,12,0.333,-0.833,1.083,1.917,1568.76,1,B,1521.035,1576.77,-39.425,3.0
copa américa,2001,Honduras,Semi-Finalist,1577.86,12,0.542,0.917,2.417,1.5,1511.397,2,C,1538.708,1578.19,39.152,2.0
copa américa,2001,Uruguay,Semi-Finalist,1543.4,12,0.625,0.667,1.25,0.583,1513.911,2,C,1538.708,1578.19,4.693,3.0
copa américa,2001,Brazil,Quarter-Finalist,1562.79,12,0.5,0.5,1.333,0.833,1547.107,3,B,1521.035,1576.77,41.755,2.0
copa américa,2001,Chile,Quarter-Finalist,1428.62,12,0.25,-0.5,0.667,1.167,1521.32,3,A,1498.245,1581.31,-69.625,3.0
copa américa,2001,Costa Rica,Quarter-Finalist,1578.19,12,0.708,0.917,2.083,1.167,1546.247,3,C,1538.708,1578.19,39.483,1.0
copa américa,2001,Peru,Quarter-Finalist,1462.97,12,0.292,-0.583,0.75,1.333,1525.745,3,B,1521.035,1576.77,-58.065,4.0
copa américa,2001,Bolivia,Round of 16,1455.38,12,0.375,-0.583,1.0,1.583,1517.145,4,C,1538.708,1578.19,-83.327,4.0
copa américa,2001,Ecuador,Round of 16,1581.31,12,0.708,0.167,1.0,0.833,1521.734,4,A,1498.245,1581.31,83.065,1.0
copa américa,2001,Paraguay,Round of 16,1576.77,12,0.708,0.917,1.583,0.667,1527.116,4,B,1521.035,1576.77,55.735,1.0
copa américa,2001,Venezuela,Round of 16,1405.42,12,0.208,-1.667,1.167,2.833,1513.972,4,A,1498.245,1581.31,-92.825,4.0
african cup of nations,2002,Cameroon,Champion,1643.44,12,0.625,0.25,1.0,0.75,1545.924,0,B,1579.653,1643.44,63.787,1.0
african cup of nations,2002,Senegal,Runner-up,1576.94,12,0.708,1.333,1.833,0.5,1524.484,1,C,1568.075,1598.37,8.865,2.0
african cup of nations,2002,Mali,Semi-Finalist,1518.31,12,0.708,0.5,1.5,1.0,1516.898,2,A,1546.838,1622.63,-28.528,3.0
african cup of nations,2002,Nigeria,Semi-Finalist,1622.63,12,0.625,0.833,1.583,0.75,1529.778,2,A,1546.838,1622.63,75.793,1.0
