tournament,year,team,stage,pre_tournament_elo,n_matches_form,win_rate,avg_goal_diff,goals_for_per_match,goals_against_per_match,avg_opponent_elo,stage_order,group,avg_group_elo,max_group_elo,elo_minus_avg_group,group_elo_rank
african cup of nations,2006,South Africa,Round of 16,1591.34,12,0.375,-0.667,1.583,2.25,1586.403,4,C,1618.688,1679.4,-27.348,4.0
african cup of nations,2006,Togo,Round of 16,1644.33,12,0.708,0.583,1.667,1.083,1587.541,4,B,1619.93,1685.23,24.4,2.0
african cup of nations,2006,Zambia,Round of 16,1611.51,12,0.583,0.667,1.833,1.167,1553.586,4,C,1618.688,1679.4,-7.178,2.0
african cup of nations,2006,Zimbabwe,Round of 16,1587.41,12,0.5,-0.25,1.167,1.417,1547.206,4,D,1631.428,1689.07,-44.017,3.0
fifa world cup,2006,Italy,Champion,1735.14,12,0.75,0.917,1.75,0.833,1594.68,0,F,1696.81,1749.85,38.33,2.0
fifa world cup,2006,France,Runner-up,1743.73,12,0.833,1.417,2.0,0.583,1583.352,1,G,1658.86,1743.73,84.87,1.0
fifa world cup,2006,Germany,Semi-Finalist,1699.67,12,0.625,0.917,2.417,1.5,1624.371,2,A,1620.112,1699.67,79.558,1.0
fifa world cup,2006,Portugal,Semi-Finalist,1704.46,12,0.917,2.167,2.417,0.25,1446.359,2,D,1678.71,1746.38,25.75,2.0
fifa world cup,2006,Argentina,Quarter-Finalist,1738.82,12,0.5,0.25,1.75,1.5,1638.912,3,B,1706.245,1738.82,32.575,1.0
fifa world cup,2006,Brazil,Quarter-Finalist,1791.07,12,0.792,2.25,2.917,0.667,1601.683,3,E,1702.43,1791.07,88.64,1.0
fifa world cup,2006,England,Quarter-Finalist,1740.19,12,0.833,1.083,2.167,1.083,1578.497,3,C,1648.36,1740.19,91.83,1.0
fifa world cup,2006,Ukraine,Quarter-Finalist,1613.58,12,0.708,1.0,1.417,0.417,1530.784,3,H,1637.862,1748.94,-24.283,3.0
fifa world cup,2006,Australia,Round of 16,1696.8,12,0.625,1.083,2.333,1.25,1612.13,4,E,1702.43,1791.07,-5.63,2.0
fifa world cup,2006,Ecuador,Round of 16,1544.0,12,0.375,-0.333,0.833,1.167,1574.148,4,A,1620.112,1699.67,-76.112,4.0
fifa world cup,2006,Ghana,Round of 16,1603.39,12,0.542,0.667,1.583,0.917,1624.159,4,F,1696.81,1749.85,-93.42,4.0
fifa world cup,2006,Mexico,Round of 16,1673.6,12,0.583,0.167,1.25,1.083,1599.089,4,D,1678.71,1746.38,-5.11,3.0
fifa world cup,2006,Netherlands,Round of 16,1730.37,12,0.792,1.167,1.75,0.583,1592.802,4,B,1706.245,1738.82,24.125,3.0
fifa world cup,2006,Spain,Round of 16,1748.94,12,0.833,1.583,2.25,0.667,1572.096,4,H,1637.862,1748.94,111.078,1.0
fifa world cup,2006,Sweden,Round of 16,1650.11,12,0.542,0.167,1.25,1.083,1589.698,4,C,1648.36,1740.19,1.75,2.0
fifa world cup,2006,Switzerland,Round of 16,1634.68,12,0.708,0.917,1.917,1.0,1611.287,4,G,1658.86,1743.73,-24.18,3.0
fifa world cup,2006,Angola,Group Stage,1590.4,12,0.5,0.333,1.667,1.333,1589.609,5,D,1678.71,1746.38,-88.31,4.0
fifa world cup,2006,Costa Rica,Group Stage,1581.75,12,0.333,-0.5,1.333,1.833,1628.43,5,A,1620.112,1699.67,-38.362,3.0
fifa world cup,2006,Croatia,Group Stage,1660.39,12,0.542,0.417,1.583,1.167,1582.626,5,E,1702.43,1791.07,-42.04,4.0
fifa world cup,2006,Czech Republic,Group Stage,1749.85,12,0.708,1.167,2.0,0.833,1588.768,5,F,1696.81,1749.85,53.04,1.0
fifa world cup,2006,Iran,Group Stage,1746.38,12,0.792,1.333,2.25,0.917,1553.464,5,D,1678.71,1746.38,67.67,1.0
fifa world cup,2006,Ivory Coast,Group Stage,1730.41,12,0.625,0.417,1.333,0.917,1636.67,5,B,1706.245,1738.82,24.165,2.0
fifa world cup,2006,Japan,Group Stage,1661.46,12,0.583,0.667,1.667,1.0,1548.973,5,E,1702.43,1791.07,-40.97,3.0
fifa world cup,2006,Paraguay,Group Stage,1643.14,12,0.667,0.75,1.583,0.833,1558.634,5,C,1648.36,1740.19,-5.22,3.0
fifa world cup,2006,Poland,Group Stage,1655.03,12,0.667,0.833,1.833,1.0,1538.425,5,A,1620.112,1699.67,34.918,2.0
fifa world cup,2006,Saudi Arabia,Group Stage,1530.09,12,0.333,-0.333,1.083,1.417,1589.656,5,H,1637.862,1748.94,-107.773,4.0
fifa world cup,2006,Serbia,Group Stage,1625.38,12,0.583,0.333,1.167,0.833,1597.471,5,B,1706.245,1738.82,-80.865,4.0
fifa world cup,2006,South Korea,Group Stage,1662.34,12,0.625,0.333,1.0,0.667,1602.794,5,G,1658.86,1743.73,3.48,2.0
fifa world cup,2006,Togo,Group Stage,1594.69,12,0.417,-0.333,1.083,1.417,1560.174,5,G,1658.86,1743.73,-64.17,4.0
fifa world cup,2006,Trinidad and Tobago,Group Stage,1560.0,12,0.5,-0.25,1.083,1.333,1570.795,5,C,1648.36,1740.19,-88.36,4.0
fifa world cup,2006,Tunisia,Group Stage,1658.84,12,0.667,0.667,1.583,0.917,1610.827,5,H,1637.862,1748.94,20.977,2.0
fifa world cup,2006,United States,Group Stage,1698.86,12,0.708,1.0,1.75,0.75,1571.846,5,F,1696.81,1749.85,2.05,3.0
afc asian cup,2007,Iraq,Champion,1605.88,12,0.458,-0.167,0.75,0.917,1580.222,0,A,1603.258,1663.66,2.622,3.0
afc asian cup,2007,Saudi Arabia,Runner-up,1623.11,12,0.708,0.583,1.5,0.917,1549.273,1,C,1568.988,1639.26,54.122,2.0
afc asian cup,2007,Japan,Semi-Finalist,1651.08,12,0.667,0.75,1.333,0.583,1558.38,2,B,1562.67,1651.08,88.41,1.0
afc asian cup,2007,South Korea,Semi-Finalist,1639.26,12,0.458,0.25,1.5,1.25,1641.172,2,C,1568.988,1639.26,70.273,1.0
afc asian cup,2007,Australia,Quarter-Finalist,1663.66,12,0.458,0.083,1.25,1.167,1620.724,3,A,1603.258,1663.66,60.402,1.0
afc asian cup,2007,Iran,Quarter-Finalist,1740.27,12,0.75,1.0,1.75,0.75,1582.767,3,D,1561.178,1740.27,179.092,1.0
afc asian cup,2007,Uzbekistan,Quarter-Finalist,1584.04,12,0.5,0.75,1.667,0.917,1480.632,3,D,1561.178,1740.27,22.862,2.0
afc asian cup,2007,Vietnam,Quarter-Finalist,1500.55,12,0.625,1.167,2.333,1.167,1457.452,3,B,1562.67,1651.08,-62.12,4.0
afc asian cup,2007,Bahrain,Round of 16,1500.0,12,0.333,-0.583,1.0,1.583,1575.515,4,C,1568.988,1639.26,-68.987,4.0
afc asian cup,2007,China PR,Round of 16,1543.73,12,0.417,-0.5,1.083,1.583,1566.261,4,D,1561.178,1740.27,-17.447,3.0
afc asian cup,2007,Indonesia,Round of 16,1513.58,12,0.5,0.083,1.333,1.25,1492.506,4,C,1568.988,1639.26,-55.408,3.0
afc asian cup,2007,Malaysia,Round of 16,1376.67,12,0.417,0.333,1.25,0.917,1464.537,4,D,1561.178,1740.27,-184.507,4.0
afc asian cup,2007,Oman,Round of 16,1644.78,12,0.667,0.167,1.25,1.083,1529.94,4,A,1603.258,1663.66,41.522,2.0
afc asian cup,2007,Qatar,Round of 16,1545.64,12,0.458,0.167,1.167,1.0,1529.534,4,B,1562.67,1651.08,-17.03,3.0
afc asian cup,2007,Thailand,Round of 16,1498.71,12,0.667,0.75,1.5,0.75,1501.102,4,A,1603.258,1663.66,-104.548,4.0
afc asian cup,2007,United Arab Emirates,Round of 16,1553.41,12,0.625,0.083,1.667,1.583,1535.318,4,B,1562.67,1651.08,-9.26,2.0
copa américa,2007,Brazil,Champion,1827.73,12,0.708,1.0,1.583,0.583,1656.39,0,B,1668.56,1827.73,159.17,1.0
copa américa,2007,Argentina,Runner-up,1759.52,12,0.667,0.667,1.667,1.0,1679.705,1,C,1694.52,1759.52,65.0,1.0
copa américa,2007,Mexico,Semi-Finalist,1670.63,12,0.667,0.667,1.667,1.0,1604.862,2,B,1668.56,1827.73,2.07,2.0
copa américa,2007,Uruguay,Semi-Finalist,1707.27,12,0.75,1.0,1.583,0.583,1574.452,2,A,1547.138,1707.27,160.132,1.0
copa américa,2007,Chile,Quarter-Finalist,1636.13,12,0.708,0.333,1.25,0.917,1606.688,3,B,1668.56,1827.73,-32.43,3.0
copa américa,2007,Paraguay,Quarter-Finalist,1623.99,12,0.417,-0.167,0.75,0.917,1602.651,3,C,1694.52,1759.52,-70.53,4.0
copa américa,2007,Peru,Quarter-Finalist,1510.78,12,0.375,-0.417,1.083,1.5,1567.993,3,A,1547.138,1707.27,-36.358,2.0
copa américa,2007,Venezuela,Quarter-Finalist,1508.61,12,0.625,0.417,1.833,1.417,1582.752,3,A,1547.138,1707.27,-38.528,3.0
copa américa,2007,Bolivia,Round of 16,1461.89,12,0.375,-0.333,1.333,1.667,1588.583,4,A,1547.138,1707.27,-85.247,4.0
copa américa,2007,Colombia,Round of 16,1674.12,12,0.75,0.833,1.667,0.833,1612.702,4,C,1694.52,1759.52,-20.4,3.0
copa américa,2007,Ecuador,Round of 16,1539.75,12,0.333,-0.5,1.167,1.667,1629.024,4,B,1668.56,1827.73,-128.81,4.0
copa américa,2007,United States,Round of 16,1720.45,12,0.833,1.333,2.0,0.667,1564.566,4,C,1694.52,1759.52,25.93,2.0
gold cup,2007,United States,Champion,1687.56,12,0.542,0.167,1.333,1.167,1605.038,0,B,1513.685,1687.56,173.875,1.0
gold cup,2007,Mexico,Runner-up,1665.37,12,0.458,0.333,1.583,1.25,1662.478,1,C,1589.635,1665.37,75.735,1.0
gold cup,2007,Canada,Semi-Finalist,1547.68,12,0.5,0.167,1.083,0.917,1554.062,2,A,1577.752,1622.8,-30.072,4.0
gold cup,2007,Guadeloupe,Semi-Finalist,1549.97,12,0.5,0.083,1.75,1.667,1505.903,2,A,1577.752,1622.8,-27.783,3.0
gold cup,2007,Costa Rica,Quarter-Finalist,1590.56,12,0.625,1.0,1.833,0.833,1539.449,3,A,1577.752,1622.8,12.807,2.0
gold cup,2007,Guatemala,Quarter-Finalist,1500.33,12,0.417,-0.25,0.75,1.0,1501.287,3,B,1513.685,1687.56,-13.355,3.0
gold cup,2007,Honduras,Quarter-Finalist,1608.63,12,0.667,1.083,2.25,1.167,1468.441,3,C,1589.635,1665.37,18.995,2.0
gold cup,2007,Panama,Quarter-Finalist,1509.84,12,0.458,-0.417,0.917,1.333,1532.51,3,C,1589.635,1665.37,-79.795,4.0
gold cup,2007,Cuba,Round of 16,1574.7,12,0.458,-0.417,0.917,1.333,1562.079,4,C,1589.635,1665.37,-14.935,3.0
gold cup,2007,El Salvador,Round of 16,1333.6,12,0.25,-1.083,0.417,1.5,1518.389,4,B,1513.685,1687.56,-180.085,4.0
gold cup,2007,Haiti,Round of 16,1622.8,12,0.792,1.25,1.833,0.583,1529.358,4,A,1577.752,1622.8,45.047,1.0
gold cup,2007,Trinidad and Tobago,Round of 16,1533.25,12,0.5,-0.083,1.75,1.833,1544.804,4,B,1513.685,1687.56,19.565,2.0
african cup of nations,2008,Egypt,Champion,1682.73,12,0.708,0.667,1.417,0.75,1540.168,0,C,1632.14,1682.73,50.59,1.0
african cup of nations,2008,Cameroon,Runner-up,1673.01,12,0.583,0.5,1.5,1.0,1528.747,1,C,1632.14,1682.73,40.87,2.0
african cup of nations,2008,Ghana,Semi-Finalist,1701.05,12,0.708,0.667,1.75,1.083,1629.98,2,A,1609.68,1701.05,91.37,1.0
african cup of nations,2008,Ivory Coast,Semi-Finalist,1710.23,12,0.75,1.917,2.417,0.5,1524.28,2,B,1627.28,1710.23,82.95,1.0
african cup of nations,2008,Angola,Quarter-Finalist,1555.97,12,0.417,-0.25,1.167,1.417,1518.352,3,D,1617.615,1708.52,-61.645,4.0
african cup of nations,2008,Guinea,Quarter-Finalist,1646.35,12,0.583,1.083,1.833,0.75,1545.259,3,A,1609.68,1701.05,36.67,3.0
african cup of nations,2008,Nigeria,Quarter-Finalist,1709.6,12,0.667,0.417,1.25,0.833,1525.288,3,B,1627.28,1710.23,82.32,2.0
african cup of nations,2008,Tunisia,Quarter-Finalist,1632.5,12,0.708,1.083,1.667,0.583,1518.043,3,D,1617.615,1708.52,14.885,2.0
african cup of nations,2008,Benin,Round of 16,1447.35,12,0.458,0.167,1.417,1.25,1576.487,4,B,1627.28,1710.23,-179.93,4.0
african cup of nations,2008,Mali,Round of 16,1641.94,12,0.667,0.917,1.833,0.917,1504.893,4,B,1627.28,1710.23,14.66,3.0
african cup of nations,2008,Morocco,Round of 16,1683.9,12,0.792,1.333,1.917,0.583,1581.944,4,A,1609.68,1701.05,74.22,2.0
african cup of nations,2008,Namibia,Round of 16,1407.42,12,0.375,-0.667,1.0,1.667,1562.502,4,A,1609.68,1701.05,-202.26,4.0
african cup of nations,2008,Senegal,Round of 16,1708.52,12,0.792,1.083,2.25,1.167,1527.344,4,D,1617.615,1708.52,90.905,1.0
african cup of nations,2008,South Africa,Round of 16,1573.47,12,0.542,0.333,1.083,0.75,1578.205,4,D,1617.615,1708.52,-44.145,3.0
african cup of nations,2008,Sudan,Round of 16,1558.79,12,0.708,0.0,1.333,1.333,1510.206,4,C,1632.14,1682.73,-73.35,4.0
african cup of nations,2008,Zambia,Round of 16,1614.03,12,0.417,-0.25,1.0,1.25,1548.628,4,C,1632.14,1682.73,-18.11,3.0
uefa euro,2008,Spain,Champion,1803.28,12,0.917,1.25,1.667,0.417,1569.967,0,D,1690.885,1803.28,112.395,1.0
uefa euro,2008,Germany,Runner-up,1773.33,12,0.792,1.25,2.0,0.75,1594.037,1,B,1655.66,1773.33,117.67,1.0
uefa euro,2008,Russia,Semi-Finalist,1645.84,12,0.667,1.0,2.083,1.083,1549.052,2,D,1690.885,1803.28,-45.045,3.0
uefa euro,2008,Turkey,Semi-Finalist,1644.03,12,0.583,0.333,1.333,1.0,1547.442,2,A,1670.195,1738.7,-26.165,3.0
uefa euro,2008,Croatia,Quarter-Finalist,1723.53,12,0.708,0.917,1.917,1.0,1539.802,3,B,1655.66,1773.33,67.87,2.0
uefa euro,2008,Italy,Quarter-Finalist,1776.58,12,0.792,1.0,1.833,0.833,1549.758,3,C,1761.085,1782.71,15.495,2.0
uefa euro,2008,Netherlands,Quarter-Finalist,1776.31,12,0.708,1.0,1.75,0.75,1554.089,3,C,1761.085,1782.71,15.225,3.0
uefa euro,2008,Portugal,Quarter-Finalist,1686.71,12,0.625,0.333,1.333,1.0,1534.651,3,A,1670.195,1738.7,16.515,2.0
uefa euro,2008,Austria,Round of 16,1465.58,12,0.375,-0.333,1.167,1.5,1650.431,4,B,1655.66,1773.33,-190.08,4.0
uefa euro,2008,Czech Republic,Round of 16,1738.7,12,0.792,1.167,1.667,0.5,1543.042,4,A,1670.195,1738.7,68.505,1.0
uefa euro,2008,France,Round of 16,1782.71,12,0.667,0.917,1.417,0.5,1604.287,4,C,1761.085,1782.71,21.625,1.0
uefa euro,2008,Greece,Round of 16,1674.24,12,0.75,0.917,2.083,1.167,1526.402,4,D,1690.885,1803.28,-16.645,2.0
uefa euro,2008,Poland,Round of 16,1660.2,12,0.625,0.417,1.333,0.917,1564.482,4,B,1655.66,1773.33,4.54,3.0
uefa euro,2008,Romania,Round of 16,1708.74,12,0.75,1.5,2.167,0.667,1556.077,4,C,1761.085,1782.71,-52.345,4.0
uefa euro,2008,Sweden,Round of 16,1640.18,12,0.542,0.0,0.833,0.833,1575.346,4,D,1690.885,1803.28,-50.705,4.0
uefa euro,2008,Switzerland,Round of 16,1611.34,12,0.458,-0.083,1.5,1.583,1625.326,4,A,1670.195,1738.7,-58.855,4.0
gold cup,2009,Mexico,Champion,1632.87,12,0.5,0.417,1.583,1.167,1590.504,0,C,1540.425,1632.87,92.445,1.0
gold cup,2009,United States,Runner-up,1735.69,12,0.625,0.5,1.917,1.417,1696.425,1,B,1594.388,1735.69,141.302,1.0
gold cup,2009,Costa Rica,Semi-Finalist,1694.57,12,0.833,1.25,1.917,0.667,1571.34,2,A,1604.855,1694.57,89.715,1.0
gold cup,2009,Honduras,Semi-Finalist,1683.93,12,0.708,0.833,1.583,0.75,1553.167,2,B,1594.388,1735.69,89.543,2.0
gold cup,2009,Canada,Quarter-Finalist,1568.66,12,0.458,0.167,1.75,1.583,1594.609,3,A,1604.855,1694.57,-36.195,3.0
gold cup,2009,Guadeloupe,Quarter-Finalist,1616.3,12,0.667,1.25,2.25,1.0,1514.996,3,C,1540.425,1632.87,75.875,2.0
gold cup,2009,Haiti,Quarter-Finalist,1480.07,12,0.292,-0.833,0.75,1.583,1565.066,3,B,1594.388,1735.69,-114.318,3.0
gold cup,2009,Panama,Quarter-Finalist,1527.58,12,0.333,-0.5,0.917,1.417,1589.225,3,C,1540.425,1632.87,-12.845,3.0
gold cup,2009,El Salvador,Round of 16,1515.79,12,0.458,-0.083,1.167,1.25,1619.273,4,A,1604.855,1694.57,-89.065,4.0
gold cup,2009,Grenada,Round of 16,1477.86,12,0.458,-0.583,1.667,2.25,1512.797,4,B,1594.388,1735.69,-116.528,4.0
gold cup,2009,Jamaica,Round of 16,1640.4,12,0.833,1.5,2.083,0.583,1515.015,4,A,1604.855,1694.57,35.545,2.0
gold cup,2009,Nicaragua,Round of 16,1384.95,12,0.333,-1.083,1.0,2.083,1483.738,4,C,1540.425,1632.87,-155.475,4.0
fifa world cup,2010,Spain,Champion,1952.88,12,1.0,2.417,3.333,0.917,1585.478,0,H,1731.9,1952.88,220.98,1.0
fifa world cup,2010,Netherlands,Runner-up,1828.17,12,0.833,1.417,2.0,0.583,1648.737,1,F,1696.322,1828.17,131.848,1.0
fifa world cup,2010,Germany,Semi-Finalist,1765.57,12,0.792,1.75,2.417,0.667,1529.922,2,D,1713.338,1765.57,52.232,1.0
fifa world cup,2010,Uruguay,Semi-Finalist,1719.31,12,0.542,0.167,1.333,1.167,1638.584,2,A,1693.625,1734.06,25.685,2.0
fifa world cup,2010,Argentina,Quarter-Finalist,1805.02,12,0.667,0.833,2.0,1.167,1668.417,3,B,1719.768,1805.02,85.253,1.0
fifa world cup,2010,Brazil,Quarter-Finalist,1919.4,12,0.875,1.5,2.167,0.667,1610.081,3,G,1742.415,1919.4,176.985,1.0
fifa world cup,2010,Ghana,Quarter-Finalist,1650.63,12,0.458,-0.333,0.75,1.083,1602.819,3,D,1713.338,1765.57,-62.707,4.0
fifa world cup,2010,Paraguay,Quarter-Finalist,1667.2,12,0.542,0.0,1.0,1.0,1641.849,3,E,1636.838,1750.22,30.362,2.0
fifa world cup,2010,Chile,Round of 16,1753.52,12,0.792,1.0,1.833,0.833,1625.769,4,H,1731.9,1952.88,21.62,2.0
fifa world cup,2010,England,Round of 16,1816.18,12,0.792,1.833,2.667,0.833,1626.278,4,C,1664.065,1816.18,152.115,1.0
fifa world cup,2010,Japan,Round of 16,1644.03,12,0.458,0.0,1.167,1.167,1610.541,4,F,1696.322,1828.17,-52.293,3.0
fifa world cup,2010,Mexico,Round of 16,1734.06,12,0.75,1.083,1.75,0.667,1621.219,4,A,1693.625,1734.06,40.435,1.0
fifa world cup,2010,Portugal,Round of 16,1729.82,12,0.875,1.667,1.833,0.167,1495.382,4,G,1742.415,1919.4,-12.595,3.0
fifa world cup,2010,Slovakia,Round of 16,1560.57,12,0.625,0.917,1.75,0.833,1585.639,4,E,1636.838,1750.22,-76.268,4.0
fifa world cup,2010,South Korea,Round of 16,1749.58,12,0.583,0.667,1.583,0.917,1627.1,4,B,1719.768,1805.02,29.812,2.0
fifa world cup,2010,United States,Round of 16,1699.59,12,0.542,-0.083,1.667,1.75,1640.517,4,C,1664.065,1816.18,35.525,2.0
fifa world cup,2010,Algeria,Group Stage,1591.52,12,0.458,-0.833,0.75,1.583,1630.116,5,C,1664.065,1816.18,-72.545,3.0
fifa world cup,2010,Australia,Group Stage,1728.51,12,0.75,0.583,1.5,0.917,1636.921,5,D,1713.338,1765.57,15.172,2.0
fifa world cup,2010,Cameroon,Group Stage,1675.38,12,0.458,-0.083,1.333,1.417,1605.967,5,F,1696.322,1828.17,-20.942,2.0
fifa world cup,2010,Denmark,Group Stage,1637.71,12,0.458,0.083,0.917,0.833,1624.411,5,F,1696.322,1828.17,-58.612,4.0
fifa world cup,2010,France,Group Stage,1717.08,12,0.667,0.667,1.417,0.75,1590.728,5,A,1693.625,1734.06,23.455,3.0
fifa world cup,2010,Greece,Group Stage,1605.45,12,0.5,-0.167,1.167,1.333,1573.225,5,B,1719.768,1805.02,-114.317,4.0
fifa world cup,2010,Honduras,Group Stage,1637.32,12,0.417,-0.167,1.25,1.417,1585.74,5,H,1731.9,1952.88,-94.58,3.0
fifa world cup,2010,Italy,Group Stage,1750.22,12,0.542,0.083,1.0,0.917,1649.973,5,E,1636.838,1750.22,113.382,1.0
fifa world cup,2010,Ivory Coast,Group Stage,1734.46,12,0.667,1.0,1.917,0.917,1596.382,5,G,1742.415,1919.4,-7.955,2.0
fifa world cup,2010,New Zealand,Group Stage,1569.36,12,0.375,-0.75,0.833,1.583,1649.193,5,E,1636.838,1750.22,-67.478,3.0
fifa world cup,2010,Nigeria,Group Stage,1719.02,12,0.708,0.75,1.583,0.833,1588.39,5,B,1719.768,1805.02,-0.747,3.0
fifa world cup,2010,North Korea,Group Stage,1585.98,12,0.417,0.333,1.417,1.083,1579.438,5,G,1742.415,1919.4,-156.435,4.0
fifa world cup,2010,Serbia,Group Stage,1708.64,12,0.75,1.333,2.0,0.667,1596.148,5,D,1713.338,1765.57,-4.697,3.0
fifa world cup,2010,Slovenia,Group Stage,1548.97,12,0.625,1.167,1.917,0.75,1548.733,5,C,1664.065,1816.18,-115.095,4.0
fifa world cup,2010,South Africa,Group Stage,1604.05,12,0.75,1.333,1.667,0.333,1592.752,5,A,1693.625,1734.06,-89.575,4.0
fifa world cup,2010,Switzerland,Group Stage,1583.88,12,0.542,0.417,1.167,0.75,1566.658,5,H,1731.9,1952.88,-148.02,4.0
afc asian cup,2011,Japan,Champion,1712.97,12,0.5,-0.25,0.75,1.0,1714.524,0,B,1604.482,1712.97,108.487,1.0
afc asian cup,2011,Australia,Runner-up,1720.71,12,0.542,-0.5,0.833,1.333,1644.532,1,C,1597.25,1734.64,123.46,2.0
afc asian cup,2011,South Korea,Semi-Finalist,1734.64,12,0.5,0.083,1.083,1.0,1691.624,2,C,1597.25,1734.64,137.39,1.0
afc asian cup,2011,Uzbekistan,Semi-Finalist,1540.27,12,0.417,-0.25,1.417,1.667,1513.045,2,A,1593.335,1657.63,-53.065,3.0
afc asian cup,2011,Iran,Quarter-Finalist,1696.4,12,0.792,0.833,1.667,0.833,1601.234,3,D,1614.468,1696.4,81.933,1.0
afc asian cup,2011,Iraq,Quarter-Finalist,1622.6,12,0.583,0.25,1.25,1.0,1586.46,3,D,1614.468,1696.4,8.132,3.0
afc asian cup,2011,Jordan,Quarter-Finalist,1487.79,12,0.583,0.333,1.417,1.083,1550.774,3,B,1604.482,1712.97,-116.693,4.0
afc asian cup,2011,Qatar,Quarter-Finalist,1536.39,12,0.417,-0.25,1.0,1.25,1568.319,3,A,1593.335,1657.63,-56.945,4.0
afc asian cup,2011,Bahrain,Round of 16,1534.81,12,0.375,-0.5,1.167,1.667,1572.358,4,C,1597.25,1734.64,-62.44,3.0
afc asian cup,2011,China PR,Round of 16,1657.63,12,0.667,0.333,1.417,1.083,1603.496,4,A,1593.335,1657.63,64.295,1.0
afc asian cup,2011,India,Round of 16,1398.84,12,0.292,-1.333,1.167,2.5,1513.503,4,C,1597.25,1734.64,-198.41,4.0
afc asian cup,2011,Kuwait,Round of 16,1639.05,12,0.75,1.5,2.417,0.917,1571.781,4,A,1593.335,1657.63,45.715,2.0
afc asian cup,2011,North Korea,Round of 16,1625.07,12,0.458,-0.75,1.0,1.75,1611.681,4,D,1614.468,1696.4,10.602,2.0
afc asian cup,2011,Saudi Arabia,Round of 16,1658.65,12,0.542,0.5,0.917,0.417,1570.342,4,B,1604.482,1712.97,54.168,2.0
afc asian cup,2011,Syria,Round of 16,1558.52,12,0.333,-0.25,1.0,1.25,1549.86,4,B,1604.482,1712.97,-45.963,3.0
afc asian cup,2011,United Arab Emirates,Round of 16,1513.8,12,0.542,0.583,1.333,0.75,1576.206,4,D,1614.468,1696.4,-100.668,4.0
copa américa,2011,Uruguay,Champion,1731.22,12,0.5,0.75,2.167,1.417,1648.568,0,C,1720.122,1793.66,11.098,3.0
copa américa,2011,Paraguay,Runner-up,1695.27,12,0.542,0.667,1.5,0.833,1632.048,1,B,1714.835,1902.66,-19.565,2.0
copa américa,2011,Peru,Semi-Finalist,1599.57,12,0.75,0.667,1.0,0.333,1624.255,2,C,1720.122,1793.66,-120.553,4.0
copa américa,2011,Venezuela,Semi-Finalist,1649.25,12,0.458,-0.417,1.333,1.75,1677.528,2,B,1714.835,1902.66,-65.585,3.0
copa américa,2011,Argentina,Quarter-Finalist,1807.53,12,0.625,0.75,2.0,1.25,1693.713,3,A,1630.348,1807.53,177.182,1.0
copa américa,2011,Brazil,Quarter-Finalist,1902.66,12,0.667,1.0,1.417,0.417,1730.388,3,B,1714.835,1902.66,187.825,1.0
copa américa,2011,Chile,Quarter-Finalist,1793.66,12,0.625,0.583,1.333,0.75,1683.188,3,C,1720.122,1793.66,73.538,1.0
copa américa,2011,Colombia,Quarter-Finalist,1650.99,12,0.5,0.167,0.917,0.75,1662.171,3,A,1630.348,1807.53,20.642,2.0
copa américa,2011,Bolivia,Round of 16,1454.71,12,0.208,-1.167,0.5,1.667,1635.958,4,A,1630.348,1807.53,-175.638,4.0
copa américa,2011,Costa Rica,Round of 16,1608.16,12,0.5,0.25,1.417,1.167,1614.36,4,A,1630.348,1807.53,-22.188,3.0
copa américa,2011,Ecuador,Round of 16,1612.16,12,0.458,0.0,1.25,1.25,1652.668,4,B,1714.835,1902.66,-102.675,4.0
copa américa,2011,Mexico,Round of 16,1756.04,12,0.833,1.75,2.583,0.833,1580.996,4,C,1720.122,1793.66,35.918,2.0
gold cup,2011,Mexico,Champion,1712.46,12,0.583,0.5,1.5,1.0,1677.866,0,A,1591.7,1712.46,120.76,1.0
gold cup,2011,United States,Runner-up,1660.95,12,0.417,-0.5,0.833,1.333,1720.998,1,C,1615.3,1660.95,45.65,1.0
gold cup,2011,Honduras,Semi-Finalist,1612.07,12,0.542,-0.417,1.25,1.667,1573.228,2,B,1549.87,1666.85,62.2,2.0
gold cup,2011,Panama,Semi-Finalist,1592.21,12,0.667,0.75,1.333,0.583,1508.247,2,C,1615.3,1660.95,-23.09,3.0
gold cup,2011,Costa Rica,Quarter-Finalist,1621.77,12,0.458,-0.083,1.083,1.167,1602.424,3,A,1591.7,1712.46,30.07,2.0
gold cup,2011,El Salvador,Quarter-Finalist,1483.42,12,0.417,-0.167,1.167,1.333,1543.803,3,A,1591.7,1712.46,-108.28,4.0
gold cup,2011,Guatemala,Quarter-Finalist,1471.96,12,0.458,-0.083,1.583,1.667,1521.857,3,B,1549.87,1666.85,-77.91,3.0
gold cup,2011,Jamaica,Quarter-Finalist,1666.85,12,0.75,0.917,1.75,0.833,1560.103,3,B,1549.87,1666.85,116.98,1.0
gold cup,2011,Canada,Round of 16,1572.5,12,0.292,-1.0,0.667,1.667,1624.597,4,C,1615.3,1660.95,-42.8,4.0
gold cup,2011,Cuba,Round of 16,1549.15,12,0.583,0.25,1.25,1.0,1485.944,4,A,1591.7,1712.46,-42.55,3.0
gold cup,2011,Grenada,Round of 16,1448.6,12,0.417,-0.25,0.833,1.083,1537.684,4,B,1549.87,1666.85,-101.27,4.0
